world_rank,university_name,country,continent,teaching,international,research,citations,income,total_score,num_students,student_staff_ratio,international_students,female_male_ratio,female
401-500,University of Porto,Portugal,Europe,32.0,45.4,28.2,37.2,38.7,33.6,32720.0,18.8,9.0,54 : 46,54.0
401-500,University of Portsmouth,United Kingdom,Europe,17.2,79.3,10.9,58.2,28.9,32.6,20161.0,19.1,23.0,45 : 55,45.0
401-500,RMIT University,Australia,Oceania,24.7,82.1,17.7,44.6,37.0,33.2,29501.0,18.1,25.0,47 : 53,47.0
401-500,University of Rome II – Tor Vergata,Italy,Europe,23.5,36.5,17.2,64.5,34.7,35.2,33504.0,26.5,6.0,52 : 48,52.0
401-500,University of Rovira i Virgili,Spain,Europe,20.8,41.5,14.8,66.9,30.9,34.6,12533.0,12.8,9.0,61 : 39,61.0
401-500,Saint Petersburg State University,Russian Federation,Asia,47.9,33.0,31.4,14.5,29.5,31.4,20836.0,5.2,7.0,60 : 40,60.0
401-500,University of Salento,Italy,Europe,29.6,24.5,13.2,53.0,36.2,31.5,19959.0,58.4,1.0,64 : 36,64.0
401-500,University of San Francisco,United States of America,North_America,34.2,40.1,12.9,43.8,28.6,31.0,10788.0,17.0,17.0,63 : 37,63.0
401-500,University of Saskatchewan,Canada,North_America,30.8,52.9,22.4,39.7,62.9,33.4,19028.0,16.3,14.0,57 : 43,57.0
401-500,Sharif University of Technology,Iran,Asia,26.6,15.9,30.1,33.7,87.8,30.5,10977.0,18.7,0.0,27 : 73,27.0
401-500,University of Siena,Italy,Europe,23.7,39.0,17.8,45.2,33.2,29.8,18846.0,23.6,5.0,59 : 41,59.0
401-500,Southern Cross University,Australia,Oceania,18.9,52.7,18.3,53.3,37.7,32.0,9026.0,32.8,15.0,66 : 34,66.0
401-500,State University of New York Albany,United States of America,North_America,25.6,31.4,35.3,35.5,28.0,32.0,15387.0,18.5,8.0,51 : 49,51.0
401-500,University of Strathclyde,United Kingdom,Europe,25.9,71.0,28.0,31.8,44.1,32.1,15705.0,20.2,20.0,50 : 50,50.0
401-500,University of Tampere,Finland,Europe,23.5,41.9,13.7,63.7,40.0,34.4,10045.0,9.5,4.0,66 : 34,66.0
401-500,Tampere University of Technology,Finland,Europe,23.1,54.0,17.2,45.5,67.5,31.5,6147.0,15.5,13.0,23 : 77,23.0
401-500,Tokyo Medical and Dental University (TMDU),Japan,Asia,39.3,23.1,18.3,36.6,59.5,31.5,2872.0,3.3,7.0,51 : 49,51.0
401-500,Tokyo Metropolitan University,Japan,Asia,21.6,19.9,11.4,72.2,30.9,33.8,9303.0,9.9,4.0,35 : 65,35.0
401-500,University of Tsukuba,Japan,Asia,40.0,34.4,30.0,33.7,42.9,34.8,15930.0,12.6,16.0,38 : 62,38.0
401-500,University of Ulsan,South Korea,Asia,19.5,18.6,20.5,54.0,64.7,31.2,14037.0,13.3,3.0,,
401-500,Ulster University,United Kingdom,Europe,19.1,79.0,13.2,44.1,29.2,29.6,19622.0,15.8,15.0,55 : 45,55.0
401-500,Université du Québec à Montréal,Canada,North_America,26.8,42.9,24.5,41.6,29.2,31.8,27046.0,24.7,9.0,61 : 39,61.0
401-500,Universiti Teknologi Malaysia,Malaysia,Asia,26.3,51.7,14.6,44.7,31.1,30.3,16270.0,9.0,13.0,43 : 57,43.0
401-500,University of Urbino Carlo Bo,Italy,Europe,17.2,35.0,8.7,66.8,31.2,31.2,13435.0,37.4,7.0,61 : 39,61.0
401-500,University of Valencia,Spain,Europe,22.7,40.5,16.9,49.6,31.3,30.6,58413.0,15.4,9.0,60 : 40,60.0
401-500,University of Waikato,New Zealand,Oceania,19.3,87.0,18.2,53.7,30.7,34.7,10159.0,17.0,25.0,57 : 43,57.0
401-500,Western Sydney University,Australia,Oceania,20.1,54.0,24.6,52.3,30.7,33.9,30704.0,32.2,9.0,56 : 44,56.0
401-500,Wuhan University,China,Asia,38.2,36.7,26.8,18.0,97.8,30.1,46227.0,14.4,7.0,,
401-500,Xiamen University,China,Asia,26.7,25.0,15.6,47.0,,,32921.0,12.3,5.0,52 : 48,52.0
501-600,American University of Beirut,Lebanon,Africa,27.7,93.0,11.2,31.9,,,7695.0,8.9,25.0,51 : 49,51.0
501-600,Amirkabir University of Technology,Iran,Asia,24.5,7.7,25.7,34.8,55.7,27.5,14080.0,25.6,1.0,34 : 66,34.0
501-600,"University of the Andes, Colombia",Colombia,South America,21.2,51.7,13.8,31.2,28.0,24.4,15773.0,16.9,2.0,44 : 56,44.0
501-600,University of Arkansas,United States of America,North_America,25.5,25.9,17.4,30.3,36.9,24.8,22819.0,21.2,5.0,50 : 50,50.0
501-600,Auburn University,United States of America,North_America,30.2,27.9,19.4,21.0,37.2,24.2,22386.0,17.6,4.0,51 : 49,51.0
501-600,Babeş-Bolyai University,Romania,Europe,27.9,35.4,12.5,32.1,28.6,25.1,37915.0,23.5,2.0,67 : 33,67.0
501-600,University of the Basque Country,Spain,Europe,18.2,34.9,11.9,43.1,30.3,25.3,46373.0,15.3,5.0,53 : 47,53.0
501-600,Bauman Moscow State Technical University,Russian Federation,Asia,44.0,15.6,23.7,3.1,68.1,24.1,18808.0,4.0,4.0,23 : 77,23.0
501-600,Ben-Gurion University of the Negev,Israel,Asia,25.1,52.9,21.3,30.1,28.7,27.6,16695.0,12.6,2.0,49 : 51,49.0
501-600,Blaise Pascal University,France,Europe,20.2,66.6,2.9,46.9,,,15619.0,7.1,17.0,55 : 45,55.0
501-600,Boğaziçi University,Turkey,Europe,21.2,38.3,17.2,45.4,35.5,28.9,11506.0,25.0,7.0,50 : 50,50.0
501-600,University of Burgundy,France,Europe,21.4,50.9,8.8,46.3,,,26612.0,20.8,11.0,54 : 46,54.0
501-600,University of Canberra,Australia,Oceania,18.4,54.6,19.3,29.8,36.2,25.2,11221.0,28.6,24.0,54 : 46,54.0
501-600,Carleton University,Canada,North_America,19.9,61.3,24.0,32.0,30.4,28.1,25036.0,29.8,18.0,47 : 53,47.0
501-600,University of Catania,Italy,Europe,19.2,25.3,15.9,52.9,29.5,29.0,55859.0,49.7,1.0,61 : 39,61.0
501-600,Central Queensland University,Australia,Oceania,20.9,50.8,11.4,43.7,32.5,27.4,11452.0,29.6,27.0,59 : 41,59.0
501-600,University of Chile,Chile,South America,28.3,44.1,19.6,30.5,,,29207.0,14.2,3.0,47 : 53,47.0
501-600,China Agricultural University,China,Asia,35.8,17.6,24.9,22.6,52.3,27.6,19342.0,12.0,1.0,57 : 43,57.0
501-600,Chung-Ang University,South Korea,Asia,29.9,43.7,27.6,17.4,61.3,27.3,13015.0,17.4,17.0,45 : 55,45.0
501-600,Czech Technical University in Prague,Czech Republic,Europe,20.6,25.0,9.3,46.5,28.2,25.5,22751.0,12.0,,,
501-600,De Montfort University,United Kingdom,Europe,16.8,58.4,10.1,40.1,28.5,25.2,16812.0,19.1,21.0,57 : 43,57.0
501-600,East China Normal University,China,Asia,24.6,30.6,14.7,43.3,42.0,28.1,29623.0,14.0,11.0,63 : 37,63.0
501-600,Edith Cowan University,Australia,Oceania,18.9,68.7,16.1,35.0,34.5,27.0,27491.0,16.1,16.0,61 : 39,61.0
501-600,Federal University of Rio de Janeiro,Brazil,South_America,32.4,25.1,19.7,18.3,42.9,24.1,52878.0,12.8,2.0,54 : 46,54.0
501-600,University of Granada,Spain,Europe,24.3,36.4,14.7,45.8,29.4,28.9,53476.0,16.0,6.0,56 : 44,56.0
501-600,University of Haifa,Israel,Asia,25.5,34.7,29.5,26.2,30.3,27.7,17758.0,30.8,1.0,65 : 35,65.0
501-600,Harbin Institute of Technology,China,Asia,29.4,25.6,27.3,15.7,99.8,26.1,31658.0,10.8,7.0,29 : 71,29.0
501-600,University of Hertfordshire,United Kingdom,Europe,15.5,78.9,9.5,50.5,29.3,29.3,19665.0,19.4,27.0,54 : 46,54.0
501-600,Hiroshima University,Japan,Asia,27.8,22.2,18.9,41.7,42.2,29.2,14686.0,8.2,5.0,36 : 64,36.0
501-600,Huazhong University of Science and Technology,China,Asia,29.3,17.3,22.7,31.6,71.8,28.2,57242.0,17.7,4.0,34 : 66,34.0
501-600,Indian Institute of Technology Guwahati,India,Asia,24.3,12.9,20.7,42.6,32.3,28.1,4710.0,14.2,1.0,14 : 86,14.0
501-600,Indian Institute of Technology Kanpur,India,Asia,33.1,16.4,15.0,31.5,28.0,25.8,6167.0,12.2,0.0,13 : 87,13.0
501-600,Indian Institute of Technology Roorkee,India,Asia,29.7,13.9,17.5,37.2,81.4,28.4,8061.0,18.7,1.0,17 : 83,17.0
501-600,Isfahan University of Technology,Iran,Asia,18.1,17.2,23.0,39.5,99.5,28.0,10964.0,26.5,1.0,39 : 61,39.0
501-600,Istanbul Technical University,Turkey,Europe,19.2,22.9,25.8,26.5,72.1,25.0,34550.0,16.0,5.0,34 : 66,34.0
501-600,Jadavpur University,India,Asia,32.8,7.7,22.2,31.8,33.8,27.5,10697.0,16.1,0.0,30 : 70,30.0
501-600,Kanazawa University,Japan,Asia,24.7,18.4,14.8,35.5,30.4,24.6,10546.0,10.4,5.0,36 : 64,36.0
501-600,Kansas State University,United States of America,North_America,22.9,41.7,17.5,39.3,43.1,28.1,21379.0,15.1,10.0,50 : 50,50.0
501-600,Keio University,Japan,Asia,25.0,22.7,17.5,28.5,41.4,24.0,33751.0,11.9,5.0,32 : 68,32.0
501-600,Kent State University,United States of America,North_America,18.4,32.4,14.2,53.8,28.5,29.1,23122.0,19.0,8.0,58 : 42,58.0
501-600,King Fahd University of Petroleum and Minerals,Saudi Arabia,Asia,25.4,84.5,16.1,24.4,81.2,28.1,6898.0,7.1,20.0,,
501-600,King Saud University,Saudi Arabia,Asia,20.0,75.5,17.5,22.3,57.4,25.0,40666.0,13.4,7.0,,
501-600,University of La Laguna,Spain,Europe,16.9,44.7,10.0,44.8,28.5,25.6,22422.0,14.9,5.0,58 : 42,58.0
501-600,Lappeenranta University of Technology,Finland,Europe,27.1,53.0,27.5,20.8,80.3,28.6,3486.0,23.9,19.0,31 : 69,31.0
501-600,University of Limerick,Republic of Ireland,Europe,19.8,76.5,16.3,36.6,34.0,28.4,12212.0,19.8,13.0,46 : 54,46.0
501-600,University of Lisbon,Portugal,Europe,25.9,46.6,18.3,32.4,35.4,27.4,47849.0,17.5,9.0,51 : 49,51.0
501-600,Liverpool John Moores University,United Kingdom,Europe,16.4,62.1,11.6,45.9,28.8,27.5,18513.0,19.8,13.0,52 : 48,52.0
501-600,Mahidol University,Thailand,Asia,26.8,44.1,15.1,28.3,71.6,26.2,27402.0,7.5,3.0,63 : 37,63.0
501-600,Manchester Metropolitan University,United Kingdom,Europe,22.7,57.8,10.6,30.8,28.3,24.3,28037.0,18.2,14.0,57 : 43,57.0
501-600,University of Maribor,Slovenia,Europe,17.1,33.6,11.5,42.1,38.7,24.7,14531.0,17.3,4.0,,
501-600,Masaryk University,Czech Republic,Europe,21.2,48.9,22.9,27.8,28.5,25.9,40898.0,26.6,17.0,62 : 38,62.0
501-600,Massey University,New Zealand,Oceania,23.1,80.5,17.1,31.9,35.8,28.6,19101.0,16.8,15.0,62 : 38,62.0
501-600,Memorial University of Newfoundland,Canada,North_America,18.1,53.3,15.8,35.6,48.3,26.1,15464.0,14.6,10.0,59 : 41,59.0
501-600,Middle East Technical University,Turkey,Europe,29.9,26.7,17.3,28.8,60.0,26.3,25779.0,22.2,7.0,44 : 56,44.0
501-600,University of Minho,Portugal,Europe,23.9,43.6,20.1,35.3,51.6,28.3,19090.0,18.8,9.0,52 : 48,52.0
501-600,Missouri University of Science and Technology,United States of America,North_America,23.5,40.6,18.4,28.7,52.8,25.5,7647.0,15.5,12.0,23 : 77,23.0
501-600,Montana State University,United States of America,North_America,17.7,23.5,21.8,48.0,43.0,29.1,12331.0,17.8,4.0,46 : 54,46.0
501-600,Monterrey Institute of Technology and Higher Education,Mexico,North_America,23.9,59.6,12.7,23.4,75.8,24.4,14353.0,20.5,12.0,40 : 60,40.0
501-600,National Central University,Taiwan,Asia,26.3,27.1,23.2,17.5,75.3,24.0,10915.0,9.8,6.0,31 : 69,31.0
501-600,National Sun Yat-Sen University,Taiwan,Asia,26.1,19.7,33.0,25.8,44.3,28.1,9336.0,19.6,4.0,37 : 63,37.0
501-600,National Taiwan Normal University,Taiwan,Asia,26.2,38.1,31.3,16.2,81.9,27.0,11072.0,13.0,19.0,57 : 43,57.0
501-600,National Technical University of Athens,Greece,Europe,20.2,31.3,15.0,36.2,40.3,24.8,14780.0,26.9,7.0,36 : 64,36.0
501-600,New Jersey Institute of Technology,United States of America,North_America,18.9,48.5,16.6,32.2,32.2,24.8,10646.0,26.2,17.0,25 : 75,25.0
501-600,New Mexico State University,United States of America,North_America,19.5,30.5,19.2,47.2,34.6,28.9,15035.0,18.8,7.0,54 : 46,54.0
501-600,University of North Carolina at Greensboro,United States of America,North_America,18.2,17.4,15.3,43.1,28.9,25.0,16446.0,19.2,2.0,66 : 34,66.0
501-600,Oklahoma State University,United States of America,North_America,27.5,25.6,22.7,33.1,33.7,27.8,21270.0,21.4,7.0,49 : 51,49.0
501-600,Osaka City University,Japan,Asia,26.3,21.3,13.4,34.4,40.7,24.8,8604.0,10.1,4.0,36 : 64,36.0
501-600,Otto von Guericke University of Magdeburg,Germany,Europe,22.9,43.9,14.4,39.7,37.7,27.3,14104.0,13.1,13.0,42 : 58,42.0
501-600,University of Oviedo,Spain,Europe,19.5,36.2,10.8,41.9,34.1,25.2,24210.0,13.7,5.0,54 : 46,54.0
501-600,Palacký University in Olomouc,Czech Republic,Europe,19.2,48.8,11.8,42.9,28.7,26.5,18540.0,11.4,9.0,70 : 30,70.0
501-600,Panjab University,India,Asia,24.6,14.1,8.8,41.0,28.1,24.1,16691.0,23.9,1.0,46 : 54,46.0
501-600,Paris Dauphine University,France,Europe,21.9,69.3,11.1,27.6,30.6,24.1,9565.0,15.4,28.0,53 : 47,53.0
501-600,Pontifical Catholic University of Rio de Janeiro (PUC-Rio),Brazil,South_America,24.5,31.3,24.1,23.1,100.0,26.4,14300.0,21.2,3.0,49 : 51,49.0
501-600,Portland State University,United States of America,North_America,16.8,31.6,14.4,43.3,44.6,25.8,20398.0,22.2,8.0,54 : 46,54.0
501-600,University of Pretoria,South Africa,Africa,25.6,46.0,21.2,17.5,52.4,24.0,37314.0,20.0,8.0,57 : 43,57.0
501-600,Pusan National University,South Korea,Asia,27.5,32.9,24.7,20.4,66.8,25.9,24929.0,19.7,12.0,51 : 49,51.0
501-600,Quaid-i-azam University,Pakistan,Asia,17.9,35.4,9.9,45.6,,,12688.0,25.7,0.0,53 : 47,53.0
501-600,University of Regina,Canada,North_America,15.6,47.7,15.8,34.2,34.4,24.1,11550.0,22.8,12.0,61 : 39,61.0
501-600,Renmin University of China,China,Asia,34.7,40.1,13.7,30.7,42.5,27.8,24954.0,12.7,6.0,,
501-600,University of Rennes 1,France,Europe,17.8,53.0,10.3,44.7,31.7,26.6,22186.0,13.9,12.0,50 : 50,50.0
501-600,University of Salamanca,Spain,Europe,26.1,40.8,16.9,25.9,31.6,24.5,31035.0,17.9,12.0,58 : 42,58.0
501-600,University of Santiago de Compostela,Spain,Europe,22.9,37.1,14.1,46.9,32.3,28.8,29085.0,15.3,6.0,63 : 37,63.0
501-600,Semmelweis University,Hungary,Europe,19.6,81.7,10.6,41.5,30.7,28.4,12920.0,10.9,25.0,64 : 36,64.0
501-600,University of Seville,Spain,Europe,21.5,32.0,14.9,32.6,36.7,24.0,64931.0,17.5,7.0,55 : 45,55.0
501-600,Université de Sherbrooke,Canada,North_America,25.6,39.8,9.5,41.3,29.6,26.6,13438.0,5.4,5.0,54 : 46,54.0
501-600,Soochow University,China,Asia,19.2,16.0,13.7,45.8,75.3,26.7,36465.0,12.9,2.0,78 : 22,78.0
501-600,South China University of Technology,China,Asia,19.5,17.5,22.1,28.1,86.8,24.4,41438.0,17.7,3.0,33 : 67,33.0
501-600,Tallinn University of Technology,Estonia,Europe,16.3,37.9,15.0,38.7,44.8,25.0,14061.0,28.6,5.0,44 : 56,44.0
501-600,Tehran University of Medical Sciences,Iran,Asia,51.8,14.1,20.0,9.3,30.0,26.1,13912.0,9.0,1.0,62 : 38,62.0
501-600,University of Texas at Arlington,United States of America,North_America,20.1,50.3,10.1,50.9,33.4,28.9,29396.0,10.5,10.0,60 : 40,60.0
501-600,Tianjin University,China,Asia,36.5,14.7,34.4,12.2,100.0,28.5,29693.0,12.2,1.0,,
501-600,Tokyo University of Agriculture and Technology,Japan,Asia,34.9,19.4,24.1,16.9,39.9,25.2,5865.0,14.4,5.0,27 : 73,27.0
501-600,University of Toledo,United States of America,North_America,31.6,37.7,13.4,29.9,32.9,26.1,19465.0,17.5,9.0,50 : 50,50.0
501-600,Tongji University,China,Asia,28.9,37.2,29.2,13.1,63.5,25.7,37394.0,13.5,10.0,38 : 62,38.0
501-600,University of Tulsa,United States of America,North_America,29.7,43.8,12.9,24.6,71.7,25.2,4597.0,12.5,25.0,43 : 57,43.0
501-600,United Arab Emirates University,United Arab Emirates,Asia,18.8,95.0,14.8,21.7,30.1,24.5,9221.0,12.5,26.0,76 : 24,76.0
501-600,University of Warsaw,Poland,Europe,26.1,41.6,15.8,42.2,28.5,29.1,49292.0,14.1,7.0,67 : 33,67.0
501-600,University of Wisconsin-Milwaukee,United States of America,North_America,17.3,26.0,13.8,45.5,29.0,25.7,22542.0,18.4,5.0,52 : 48,52.0
501-600,Xi’an Jiaotong University,China,Asia,28.7,25.8,22.5,25.5,70.4,26.7,29863.0,12.3,4.0,34 : 66,34.0
501-600,University of Zaragoza,Spain,Europe,20.1,33.5,12.7,49.5,36.7,28.1,31046.0,11.8,5.0,55 : 45,55.0
601-800,University of A Coruña,Spain,Europe,18.3,23.4,10.0,16.6,38.2,16.2,17062.0,13.0,2.0,52 : 48,52.0
601-800,Adam Mickiewicz University,Poland,Europe,20.0,25.7,11.0,15.3,28.7,16.5,40633.0,15.6,1.0,71 : 29,71.0
601-800,AGH University of Science and Technology,Poland,Europe,14.2,17.9,3.7,35.7,,,35569.0,17.0,1.0,,
601-800,Ajou University,South Korea,Asia,19.5,20.0,11.9,23.9,45.7,19.2,12706.0,11.3,2.0,33 : 67,33.0
601-800,University of Alcalá,Spain,Europe,17.6,50.0,11.2,28.3,43.3,22.0,30812.0,25.1,18.0,53 : 47,53.0
601-800,Alexandria University,Egypt,Africa,20.3,33.7,8.2,14.1,29.7,16.0,127431.0,23.3,1.0,46 : 54,46.0
601-800,Alexandru Ioan Cuza University,Romania,Europe,24.9,46.9,13.6,7.0,28.2,17.9,25724.0,33.0,5.0,63 : 37,63.0
601-800,Aligarh Muslim University,India,Asia,28.3,18.7,10.0,20.9,29.6,19.9,11197.0,10.5,2.0,17 : 83,17.0
601-800,American University of Sharjah,United Arab Emirates,Asia,12.4,95.6,10.6,13.3,33.3,18.9,5226.0,14.1,82.0,48 : 52,48.0
601-800,Amrita University,India,Asia,20.4,29.6,5.8,20.7,28.0,17.0,17273.0,6.6,8.0,,
601-800,Anadolu University,Turkey,Europe,12.2,14.3,22.6,10.9,100.0,17.3,379231.0,162.6,1.0,78 : 22,78.0
601-800,Andhra University,India,Asia,34.8,7.2,6.9,1.2,31.3,14.2,10407.0,20.2,3.0,36 : 64,36.0
601-800,University of Antioquia,Colombia,South America,18.1,42.0,21.1,14.8,43.6,20.4,38872.0,23.0,1.0,50 : 50,50.0
601-800,Aristotle University of Thessaloniki,Greece,Europe,22.6,36.6,15.0,29.5,33.6,23.7,46288.0,22.2,9.0,52 : 48,52.0
601-800,"Asia University, Taiwan",Taiwan,Asia,14.4,18.3,15.9,30.5,38.4,20.6,12119.0,26.3,3.0,53 : 47,53.0
601-800,Athens University of Economics and Business,Greece,Europe,13.4,39.2,18.8,31.2,66.5,23.6,13167.0,57.5,6.0,47 : 53,47.0
601-800,Auckland University of Technology,New Zealand,Oceania,17.3,95.6,9.8,21.7,28.5,22.5,18981.0,18.1,38.0,58 : 42,58.0
601-800,Austral University of Chile,Chile,South America,16.7,45.2,9.7,14.2,41.1,16.6,13794.0,17.8,1.0,47 : 53,47.0
601-800,Beijing Institute of Technology,China,Asia,25.9,16.9,21.7,9.1,87.6,20.5,,,,,
601-800,Belarusian State University,Belarus,Asia,20.2,48.2,8.7,6.0,28.0,14.8,29303.0,10.6,6.0,69 : 31,69.0
601-800,University of Belgrade,Serbia,Europe,20.4,30.5,13.2,14.0,45.6,17.7,96968.0,28.3,5.0,60 : 40,60.0
601-800,"Birla Institute of Technology and Science, Pilani",India,Asia,18.3,13.7,8.3,17.4,29.6,15.0,11837.0,19.5,0.0,22 : 78,22.0
601-800,University of Bradford,United Kingdom,Europe,18.7,79.1,15.9,22.7,32.7,23.9,11065.0,20.5,32.0,53 : 47,53.0
601-800,University of Brasília,Brazil,South_America,21.9,24.1,7.4,10.4,,,45880.0,14.5,2.0,52 : 48,52.0
601-800,University of Brighton,United Kingdom,Europe,16.7,62.8,10.7,20.1,29.4,19.7,16924.0,19.5,19.0,58 : 42,58.0
601-800,University of Bucharest,Romania,Europe,34.3,21.3,11.5,9.9,29.5,19.0,31806.0,24.9,2.0,70 : 30,70.0
601-800,Budapest University of Technology and Economics,Hungary,Europe,17.1,30.4,13.7,21.6,39.7,19.0,22447.0,22.1,4.0,32 : 68,32.0
601-800,Cairo University,Egypt,Africa,18.9,31.0,11.1,11.9,30.3,15.7,231941.0,39.1,3.0,47 : 53,47.0
601-800,University of Calcutta,India,Asia,34.7,13.1,8.7,19.8,29.2,20.7,18511.0,32.5,0.0,,
601-800,"California State University, Long Beach",United States of America,North_America,11.6,18.9,10.4,23.3,,,29594.0,32.3,5.0,58 : 42,58.0
601-800,Capital Medical University,China,Asia,26.3,18.8,14.9,16.3,28.8,19.4,11506.0,7.1,3.0,70 : 30,70.0
601-800,University of Castilla-La Mancha,Spain,Europe,18.4,28.6,10.3,30.5,29.7,20.6,26381.0,14.3,3.0,56 : 44,56.0
601-800,University of Central Lancashire,United Kingdom,Europe,15.7,54.1,9.4,28.2,28.9,20.8,18542.0,17.5,17.0,57 : 43,57.0
601-800,University of Cergy-Pontoise,France,Europe,18.7,49.1,6.3,13.2,28.6,15.9,17000.0,9.2,11.0,53 : 47,53.0
601-800,Chang Gung University,Taiwan,Asia,19.3,15.7,24.7,27.6,31.9,23.5,7506.0,12.6,0.0,42 : 58,42.0
601-800,Carlos III University of Madrid,Spain,Europe,23.2,44.7,17.4,24.8,34.8,23.8,15730.0,11.4,9.0,43 : 57,43.0
601-800,"University of Chemistry and Technology, Prague",Czech Republic,Europe,21.6,46.3,12.0,17.4,38.9,19.7,4699.0,11.0,19.0,,
601-800,Chiang Mai University,Thailand,Asia,17.8,34.9,9.4,30.0,32.3,20.6,35617.0,16.5,1.0,19 : 81,19.0
601-800,Chiba University,Japan,Asia,26.9,21.0,16.8,24.8,55.3,23.5,14554.0,12.3,5.0,37 : 63,37.0
601-800,China University of Geosciences (Wuhan),China,Asia,21.1,16.1,21.4,21.5,64.5,22.0,29483.0,20.7,3.0,,
601-800,China University of Petroleum (Beijing),China,Asia,23.6,15.9,26.6,4.0,100.0,20.0,14579.0,19.4,6.0,,
601-800,Chonbuk National University,South Korea,Asia,19.7,27.2,14.7,24.5,33.3,20.5,23270.0,15.0,3.0,45 : 55,45.0
601-800,Chongqing University,China,Asia,19.5,15.5,15.5,8.7,73.8,16.1,43955.0,16.0,3.0,,
601-800,Chonnam National University,South Korea,Asia,17.5,20.4,11.7,29.1,31.4,19.8,35779.0,18.5,3.0,41 : 59,41.0
601-800,Chulalongkorn University,Thailand,Asia,23.8,32.8,14.1,16.7,37.8,19.8,38719.0,14.5,2.0,59 : 41,59.0
601-800,Chung Yuan Christian University,Taiwan,Asia,15.9,18.7,22.1,17.4,41.9,19.1,15020.0,30.2,3.0,41 : 59,41.0
601-800,Chungnam National University,South Korea,Asia,23.2,19.8,17.7,13.2,39.9,18.7,18361.0,17.2,3.0,,
601-800,Clemson University,United States of America,North_America,21.4,34.6,19.7,27.0,35.8,23.9,19198.0,17.1,8.0,46 : 54,46.0
601-800,Comenius University in Bratislava,Slovakia,Europe,23.0,46.9,10.3,19.6,28.0,20.1,20879.0,9.7,10.0,54 : 46,54.0
601-800,Coventry University,United Kingdom,Europe,17.1,69.6,7.7,18.4,29.1,18.9,21934.0,14.8,35.0,47 : 53,47.0
601-800,Dalian University of Technology,China,Asia,22.6,20.7,19.0,23.5,93.3,23.4,34326.0,15.2,2.0,33 : 67,33.0
601-800,University of Debrecen,Hungary,Europe,17.3,49.0,11.4,20.9,,,29714.0,20.3,13.0,57 : 43,57.0
601-800,University of Delhi,India,Asia,29.8,15.4,10.8,19.1,28.2,19.8,32567.0,22.9,1.0,50 : 50,50.0
601-800,University of Dhaka,Bangladesh,Asia,21.7,37.2,7.2,9.6,,,62716.0,6.9,5.0,34 : 66,34.0
601-800,Dublin Institute of Technology,Republic of Ireland,Europe,16.1,70.5,8.8,20.7,28.1,19.7,13839.0,18.9,25.0,41 : 59,41.0
601-800,Ehime University,Japan,Asia,19.2,20.9,11.3,17.5,37.8,16.9,8394.0,9.9,1.0,39 : 61,39.0
601-800,University of Electronic Science and Technology of China,China,Asia,20.5,13.4,12.9,8.8,28.0,14.4,21689.0,9.8,0.0,21 : 79,21.0
601-800,Eötvös Loránd University,Hungary,Europe,21.3,43.0,12.1,30.6,29.3,23.2,28698.0,22.4,4.0,,
601-800,Erciyes University,Turkey,Europe,15.5,17.2,10.9,18.0,30.3,15.4,28079.0,28.0,2.0,46 : 54,46.0
601-800,Federal University of Bahia,Brazil,South_America,18.2,19.7,8.1,14.3,,,39861.0,17.9,1.0,47 : 53,47.0
601-800,Federal University of Minas Gerais,Brazil,South_America,27.9,21.6,15.4,23.1,30.7,22.3,42612.0,13.5,1.0,55 : 45,55.0
601-800,Federal University of Paraná (UFPR),Brazil,South_America,24.6,15.5,9.6,7.0,,,21850.0,11.2,1.0,,
601-800,Federal University of Rio Grande do Sul,Brazil,South_America,32.6,18.9,13.7,16.8,,,38743.0,14.8,1.0,50 : 50,50.0
601-800,Federal University of Santa Catarina,Brazil,South_America,26.0,21.0,12.2,14.2,42.9,18.4,26078.0,12.6,1.0,48 : 52,48.0
601-800,Federal University of São Carlos,Brazil,South_America,29.0,16.8,10.8,11.5,,,18587.0,16.9,0.0,,
601-800,Federal University of Viçosa,Brazil,South_America,39.7,15.0,14.5,3.9,59.0,20.0,13163.0,11.4,3.0,70 : 30,70.0
601-800,Federal University of Lavras,Brazil,South_America,25.8,14.5,16.4,3.0,,,10350.0,20.9,2.0,53 : 47,53.0
601-800,Feng Chia University,Taiwan,Asia,14.6,21.1,13.7,34.4,33.9,21.2,20213.0,23.9,7.0,36 : 64,36.0
601-800,Florida Institute of Technology,United States of America,North_America,20.4,62.4,13.5,24.6,33.4,23.1,4408.0,13.7,26.0,34 : 66,34.0
601-800,Fu Jen Catholic University,Taiwan,Asia,14.4,19.1,9.8,18.2,47.0,15.3,25951.0,22.8,4.0,59 : 41,59.0
601-800,Gdańsk University of Technology,Poland,Europe,15.5,16.1,9.5,15.2,36.8,14.2,25217.0,23.3,1.0,39 : 61,39.0
601-800,University of Ghana,Ghana,Africa,15.6,48.4,15.6,19.5,,,37274.0,37.5,2.0,41 : 59,41.0
601-800,Gifu University,Japan,Asia,25.4,18.5,16.9,14.7,32.8,19.3,7318.0,12.4,4.0,35 : 65,35.0
601-800,Glasgow Caledonian University,United Kingdom,Europe,17.1,55.0,10.4,24.2,29.9,20.4,13527.0,21.6,16.0,60 : 40,60.0
601-800,University of Greenwich,United Kingdom,Europe,15.7,81.8,9.5,17.7,30.0,19.8,18096.0,24.6,32.0,53 : 47,53.0
