world_rank,university_name,country,continent,teaching,international,research,citations,income,total_score,num_students,student_staff_ratio,international_students,female_male_ratio,female
301-350,University of Oregon,United States of America,North_America,21.2,33.5,22.7,72.6,30.8,38.2,24418.0,20.2,11.0,52 : 48,52.0
301-350,University of Padua,Italy,Europe,25.7,37.9,22.6,74.6,32.6,40.5,62577.0,18.3,4.0,56 : 44,56.0
301-350,University of Pavia,Italy,Europe,25.0,40.5,22.5,65.1,69.4,38.6,22958.0,40.6,6.0,56 : 44,56.0
301-350,Plymouth University,United Kingdom,Europe,19.3,64.0,18.0,75.2,28.5,39.3,24121.0,25.9,13.0,52 : 48,52.0
301-350,Shanghai Jiao Tong University,China,Asia,37.8,27.5,45.2,34.0,92.9,39.5,38191.0,12.8,6.0,37 : 63,37.0
301-350,University of Southern Denmark,Denmark,Europe,19.2,71.8,14.7,79.7,28.0,40.2,22210.0,12.7,16.0,52 : 48,52.0
301-350,Stellenbosch University,South Africa,Africa,28.2,49.8,35.0,46.9,100.0,39.3,21849.0,23.0,8.0,53 : 47,53.0
301-350,University of Strasbourg,France,Europe,25.5,71.6,23.4,64.4,32.8,40.2,46208.0,17.8,21.0,58 : 42,58.0
301-350,Technical University of Dortmund,Germany,Europe,34.2,40.8,29.8,55.3,48.6,40.1,29143.0,88.9,10.0,47 : 53,47.0
301-350,Technion Israel Institute of Technology,Israel,Asia,30.8,61.9,33.3,52.1,28.8,40.2,13855.0,19.4,4.0,35 : 65,35.0
301-350,Toulouse 1 Capitole University,France,Europe,18.6,66.7,35.7,56.3,32.5,39.0,19011.0,43.8,19.0,59 : 41,59.0
301-350,University of Trieste,Italy,Europe,26.5,47.3,18.5,74.1,32.3,40.1,18135.0,25.8,9.0,56 : 44,56.0
301-350,University of Turin,Italy,Europe,27.4,38.8,22.3,67.5,54.2,39.4,67552.0,66.0,6.0,62 : 38,62.0
301-350,University of Turku,Finland,Europe,27.1,66.2,21.2,65.8,31.2,40.0,12326.0,14.6,5.0,61 : 39,61.0
301-350,Vrije Universiteit Brussel,Belgium,Europe,28.7,64.5,24.5,56.8,77.1,39.8,9020.0,17.1,16.0,55 : 45,55.0
301-350,VŠB - Technical University of Ostrava,Czech Republic,Europe,18.8,22.3,15.7,85.5,32.1,38.5,14991.0,23.9,5.0,49 : 51,49.0
301-350,Yonsei University,South Korea,Asia,37.2,41.5,34.1,39.4,75.9,38.2,24774.0,11.6,14.0,,
301-350,York University,Canada,North_America,30.2,58.2,30.8,49.1,33.2,38.2,48007.0,39.4,9.0,59 : 41,59.0
351-400,Bilkent University,Turkey,Europe,22.6,47.5,17.5,64.1,30.2,35.6,,,,,
351-400,"Binghamton University, State University of New York",United States of America,North_America,22.7,53.6,17.4,62.0,34.0,35.5,15799.0,23.3,14.0,48 : 52,48.0
351-400,University of Crete,Greece,Europe,18.6,47.0,19.2,73.6,34.5,37.8,14650.0,26.9,5.0,63 : 37,63.0
351-400,University of Cyprus,Cyprus,Europe,18.0,74.7,28.5,56.7,30.0,37.3,6880.0,22.9,8.0,69 : 31,69.0
351-400,Drexel University,United States of America,North_America,31.2,46.3,14.6,57.7,36.3,35.4,20713.0,10.8,18.0,48 : 52,48.0
351-400,University of Eastern Finland,Finland,Europe,24.8,46.1,20.7,65.1,33.3,37.5,10798.0,17.3,6.0,64 : 36,64.0
351-400,University of Florence,Italy,Europe,21.7,38.5,20.4,72.1,35.9,38.0,54290.0,17.2,7.0,59 : 41,59.0
